Date Saved,2025/12/04 20:18:07
Title,SL_095_02°_3048K

Measuring Mode,Ambient
Viewing Angle [°],2
CCT [K],3048
⊿uv,0.0004
Illuminance [lx],12300

Peak Wavelength [nm],604
Tristimulus Value X,13258.9396
Tristimulus Value Y,12339.5038
Tristimulus Value Z,4947.3630
CIE1931 x,0.4341
CIE1931 y,0.4040
CIE1931 z,0.1620
CIE1976 u',0.2488
CIE1976 v',0.5209
Dominant Wavelength [nm],583
Purity [%],51.5
PPFD [umolm⁻²s⁻¹],174.5
CRI Ra,83.5
CRI R1,82.2
CRI R2,91.8
CRI R3,96.5
CRI R4,81.7
CRI R5,82.4
CRI R6,90.4
CRI R7,83.2
CRI R8,60.0
CRI R9,9.0
CRI R10,81.0
CRI R11,81.4
CRI R12,73.0
CRI R13,84.6
CRI R14,98.8
CRI R15,74.5
TM-30 Rf,86
TM-30 Rg,95
SSIt,77
SSId,52
SSI1,---
SSI2,---
TLCI,70
TLMF,---

Spectral Data 380[nm],0.003818298224
Spectral Data 385[nm],0.003452985082
Spectral Data 390[nm],0.003178006504
Spectral Data 395[nm],0.002721147845
Spectral Data 400[nm],0.002339883707
Spectral Data 405[nm],0.002854726277
Spectral Data 410[nm],0.004148556851
Spectral Data 415[nm],0.005737337284
Spectral Data 420[nm],0.008514008485
Spectral Data 425[nm],0.013739095069
Spectral Data 430[nm],0.022072942927
Spectral Data 435[nm],0.035544000566
Spectral Data 440[nm],0.056906793267
Spectral Data 445[nm],0.085132300854
Spectral Data 450[nm],0.108918786049
Spectral Data 455[nm],0.114855565131
Spectral Data 460[nm],0.103301219642
Spectral Data 465[nm],0.085526846349
Spectral Data 470[nm],0.069540046155
Spectral Data 475[nm],0.058657046407
Spectral Data 480[nm],0.053733173758
Spectral Data 485[nm],0.054511092603
Spectral Data 490[nm],0.060776580125
Spectral Data 495[nm],0.071097895503
Spectral Data 500[nm],0.082891337574
Spectral Data 505[nm],0.093765050173
Spectral Data 510[nm],0.103148497641
Spectral Data 515[nm],0.110926643014
Spectral Data 520[nm],0.117755003273
Spectral Data 525[nm],0.125088050961
Spectral Data 530[nm],0.132586747408
Spectral Data 535[nm],0.138252481818
Spectral Data 540[nm],0.141328528523
Spectral Data 545[nm],0.145366027951
Spectral Data 550[nm],0.152721583843
Spectral Data 555[nm],0.161047905684
Spectral Data 560[nm],0.170269861817
Spectral Data 565[nm],0.180787056684
Spectral Data 570[nm],0.192678645253
Spectral Data 575[nm],0.204810038209
Spectral Data 580[nm],0.216407611966
Spectral Data 585[nm],0.227492406964
Spectral Data 590[nm],0.237398266792
Spectral Data 595[nm],0.245185330510
Spectral Data 600[nm],0.249915748835
Spectral Data 605[nm],0.250907599926
Spectral Data 610[nm],0.248202979565
Spectral Data 615[nm],0.241993039846
Spectral Data 620[nm],0.232828587294
Spectral Data 625[nm],0.221395179629
Spectral Data 630[nm],0.208306938410
Spectral Data 635[nm],0.193365707994
Spectral Data 640[nm],0.177291080356
Spectral Data 645[nm],0.160726204515
Spectral Data 650[nm],0.144302561879
Spectral Data 655[nm],0.128249019384
Spectral Data 660[nm],0.113026626408
Spectral Data 665[nm],0.098718844354
Spectral Data 670[nm],0.085838325322
Spectral Data 675[nm],0.074149169028
Spectral Data 680[nm],0.063562691212
Spectral Data 685[nm],0.054378338158
Spectral Data 690[nm],0.047030825168
Spectral Data 695[nm],0.040700621903
Spectral Data 700[nm],0.035083469003
Spectral Data 705[nm],0.030152956024
Spectral Data 710[nm],0.026009606197
Spectral Data 715[nm],0.022852985188
Spectral Data 720[nm],0.019138073549
Spectral Data 725[nm],0.015556020662
Spectral Data 730[nm],0.014107787982
Spectral Data 735[nm],0.012040024623
Spectral Data 740[nm],0.008935482241
Spectral Data 745[nm],0.006896913983
Spectral Data 750[nm],0.006004456431
Spectral Data 755[nm],0.005019566044
Spectral Data 760[nm],0.002701260149
Spectral Data 765[nm],0.004230150487
Spectral Data 770[nm],0.001803803956
Spectral Data 775[nm],0.000308848306
Spectral Data 780[nm],0.001309237792

Spectral Data 380[nm],0.004044224042
Spectral Data 381[nm],0.003902944503
Spectral Data 382[nm],0.003766129026
Spectral Data 383[nm],0.003633544082
Spectral Data 384[nm],0.003511297051
Spectral Data 385[nm],0.003407629905
Spectral Data 386[nm],0.003330786014
Spectral Data 387[nm],0.003286306979
Spectral Data 388[nm],0.003263713792
Spectral Data 389[nm],0.003246643348
Spectral Data 390[nm],0.003218723461
Spectral Data 391[nm],0.003165564965
Spectral Data 392[nm],0.003085687757
Spectral Data 393[nm],0.002982779872
Spectral Data 394[nm],0.002860541921
Spectral Data 395[nm],0.002723657992
Spectral Data 396[nm],0.002583337715
Spectral Data 397[nm],0.002453709254
Spectral Data 398[nm],0.002348926151
Spectral Data 399[nm],0.002281968016
Spectral Data 400[nm],0.002257408341
