Date Saved,2025/12/04 20:18:11
Spectral Data 442[nm],0.000046234807
Spectral Data 443[nm],0.000055674875
Spectral Data 444[nm],0.000066405380
Spectral Data 445[nm],0.000078497433
Spectral Data 446[nm],0.000092018912
Spectral Data 447[nm],0.000107039297
Spectral Data 448[nm],0.000123684396
Spectral Data 449[nm],0.000142179604
Spectral Data 450[nm],0.000162765064
Spectral Data 451[nm],0.000185680066
Spectral Data 452[nm],0.000211046310
Spectral Data 453[nm],0.000238707435
Spectral Data 454[nm],0.000268462783
Spectral Data 455[nm],0.000300111831
Spectral Data 456[nm],0.000333502452
Spectral Data 457[nm],0.000368625915
Spectral Data 458[nm],0.000405506638
Spectral Data 459[nm],0.000444168865
Spectral Data 460[nm],0.000484427030
Spectral Data 461[nm],0.000525165698
Spectral Data 462[nm],0.000565031776
Spectral Data 463[nm],0.000602672226
Spectral Data 464[nm],0.000636838551
Spectral Data 465[nm],0.000666882785
Spectral Data 466[nm],0.000692371395
Spectral Data 467[nm],0.000712871086
Spectral Data 468[nm],0.000727953971
Spectral Data 469[nm],0.000737317372
Spectral Data 470[nm],0.000740707386
Spectral Data 471[nm],0.000737867784
Spectral Data 472[nm],0.000728623767
Spectral Data 473[nm],0.000713644258
Spectral Data 474[nm],0.000694111688
Spectral Data 475[nm],0.000671216636
Spectral Data 476[nm],0.000646118890
Spectral Data 477[nm],0.000619499711
Spectral Data 478[nm],0.000591662305
Spectral Data 479[nm],0.000562899455
Spectral Data 480[nm],0.000533512095
Spectral Data 481[nm],0.000503952731
Spectral Data 482[nm],0.000474829692
Spectral Data 483[nm],0.000446760067
Spectral Data 484[nm],0.000420352386
Spectral Data 485[nm],0.000395923678
Spectral Data 486[nm],0.000373413815
Spectral Data 487[nm],0.000352735689
Spectral Data 488[nm],0.000333803677
Spectral Data 489[nm],0.000316579215
Spectral Data 490[nm],0.000301099353
Spectral Data 491[nm],0.000287410978
Spectral Data 492[nm],0.000275560276
Spectral Data 493[nm],0.000265537092
Spectral Data 494[nm],0.000257213600
Spectral Data 495[nm],0.000250444573
Spectral Data 496[nm],0.000245084753
Spectral Data 497[nm],0.000240996538
Spectral Data 498[nm],0.000238064502
Spectral Data 499[nm],0.000236177177
Spectral Data 500[nm],0.000235223109
Spectral Data 501[nm],0.000235078653
Spectral Data 502[nm],0.000235572152
Spectral Data 503[nm],0.000236520500
Spectral Data 504[nm],0.000237740576
Spectral Data 505[nm],0.000239060522
Spectral Data 506[nm],0.000240362016
Spectral Data 507[nm],0.000241544505
Spectral Data 508[nm],0.000242507449
Spectral Data 509[nm],0.000243145201
Spectral Data 510[nm],0.000243316565
Spectral Data 511[nm],0.000242865251
Spectral Data 512[nm],0.000241634945
Spectral Data 513[nm],0.000239484318
Spectral Data 514[nm],0.000236424647
Spectral Data 515[nm],0.000232551683
Spectral Data 516[nm],0.000227961864
Spectral Data 517[nm],0.000222752045
Spectral Data 518[nm],0.000217022520
Spectral Data 519[nm],0.000210876227
Spectral Data 520[nm],0.000204416196
Spectral Data 521[nm],0.000197743764
Spectral Data 522[nm],0.000190925508
Spectral Data 523[nm],0.000183995930
Spectral Data 524[nm],0.000176988295
Spectral Data 525[nm],0.000169935156
