Date Saved,2025/12/04 20:18:15
Title,SL_102_02°_4451K
% BLUE,21.0914
Viewing Angle [°],2
CCT [K],4451
⊿uv,0.0111
Illuminance [lx],1120
Peak Wavelength [nm],450
Tristimulus Value X,1046.5848
Tristimulus Value Y,1117.0344
Tristimulus Value Z,683.1580
CIE1931 x,0.3676
CIE1931 y,0.3924
CIE1931 z,0.2400
CIE1976 u',0.2109
CIE1976 v',0.5064
Dominant Wavelength [nm],572
Purity [%],28.1
PPFD [umolm⁻²s⁻¹],14.1
CRI Ra,67.5
CRI R1,62.7
CRI R2,73.0
CRI R3,80.6
CRI R4,66.4
CRI R5,62.0
CRI R6,61.4
CRI R7,82.4
CRI R8,51.4
CRI R9,-44.3
CRI R10,35.2
CRI R11,58.9
CRI R12,26.5
CRI R13,64.0
CRI R14,88.8
CRI R15,55.3
TM-30 Rf,72
TM-30 Rg,91
SSIt,51
SSId,56
SSI1,---
SSI2,---
TLCI,44
TLMF,---
Spectral Data 380[nm],0.000174436558
Spectral Data 385[nm],0.000178224989
Spectral Data 390[nm],0.000191794097
Spectral Data 395[nm],0.000169149105
Spectral Data 400[nm],0.000163415214
Spectral Data 405[nm],0.000228514065
Spectral Data 410[nm],0.000352457981
Spectral Data 415[nm],0.000587334682
Spectral Data 420[nm],0.001134969294
Spectral Data 425[nm],0.002260823734
Spectral Data 430[nm],0.004248284269
Spectral Data 435[nm],0.007444764953
Spectral Data 440[nm],0.012012641877
Spectral Data 445[nm],0.017124151811
Spectral Data 450[nm],0.019851431251
Spectral Data 455[nm],0.017615819350
Spectral Data 460[nm],0.012763164937
Spectral Data 465[nm],0.008527968079
Spectral Data 470[nm],0.005694251973
Spectral Data 475[nm],0.003865908831
Spectral Data 480[nm],0.002864965703
Spectral Data 485[nm],0.002443388570
Spectral Data 490[nm],0.002564602066
Spectral Data 495[nm],0.003271257970
Spectral Data 500[nm],0.004559040070
Spectral Data 505[nm],0.006315538660
Spectral Data 510[nm],0.008386843838
Spectral Data 515[nm],0.010539675131
Spectral Data 520[nm],0.012647922151
Spectral Data 525[nm],0.014686478302
Spectral Data 530[nm],0.016494467854
Spectral Data 535[nm],0.017710616812
Spectral Data 540[nm],0.018183318898
Spectral Data 545[nm],0.018432714045
Spectral Data 550[nm],0.018840115517
Spectral Data 555[nm],0.019105264917
Spectral Data 560[nm],0.019265856594
Spectral Data 565[nm],0.019275935367
Spectral Data 570[nm],0.019171021879
Spectral Data 575[nm],0.018963612616
Spectral Data 580[nm],0.018637588248
Spectral Data 585[nm],0.018206171691
Spectral Data 590[nm],0.017682686448
Spectral Data 595[nm],0.017030468211
Spectral Data 600[nm],0.016289236024
Spectral Data 605[nm],0.015498453751
Spectral Data 610[nm],0.014633960091
Spectral Data 615[nm],0.013702554628
Spectral Data 620[nm],0.012733645737
Spectral Data 625[nm],0.011757246219
Spectral Data 630[nm],0.010793088004
Spectral Data 635[nm],0.009851248935
Spectral Data 640[nm],0.008953681216
Spectral Data 645[nm],0.008075748570
Spectral Data 650[nm],0.007246005349
Spectral Data 655[nm],0.006468104664
Spectral Data 660[nm],0.005745446309
Spectral Data 665[nm],0.005081702024
Spectral Data 670[nm],0.004484481178
Spectral Data 675[nm],0.003929905128
Spectral Data 680[nm],0.003428313648
Spectral Data 685[nm],0.002985808998
Spectral Data 690[nm],0.002640239662
Spectral Data 695[nm],0.002336241538
Spectral Data 700[nm],0.002040378517
Spectral Data 705[nm],0.001757184393
Spectral Data 710[nm],0.001520164078
Spectral Data 715[nm],0.001374840969
Spectral Data 720[nm],0.001125829876
Spectral Data 725[nm],0.000881814281
Spectral Data 730[nm],0.000811392034
Spectral Data 735[nm],0.000753815926
Spectral Data 740[nm],0.000506796292
Spectral Data 745[nm],0.000397834461
Spectral Data 750[nm],0.000377705059
Spectral Data 755[nm],0.000303542940
Spectral Data 760[nm],0.000185957862
Spectral Data 765[nm],0.000301213819
Spectral Data 770[nm],0.000173738692
Spectral Data 775[nm],0.000045165310
Spectral Data 780[nm],0.000126320912
Spectral Data 380[nm],0.000177852373
Spectral Data 381[nm],0.000176457717
Spectral Data 382[nm],0.000175605106
Spectral Data 383[nm],0.000174712113
Spectral Data 384[nm],0.000174234257
Spectral Data 385[nm],0.000174976434
Spectral Data 386[nm],0.000177743801
Spectral Data 387[nm],0.000183038894
Spectral Data 388[nm],0.000189569808
Spectral Data 389[nm],0.000195385597
Spectral Data 390[nm],0.000198534282
Spectral Data 391[nm],0.000197383953
Spectral Data 392[nm],0.000192385822
Spectral Data 393[nm],0.000184825010
Spectral Data 394[nm],0.000175988826
Spectral Data 395[nm],0.000167143284
Spectral Data 396[nm],0.000159351155
Spectral Data 397[nm],0.000153594010
Spectral Data 398[nm],0.000150854408
Spectral Data 399[nm],0.000151992412
Spectral Data 400[nm],0.000156961454
Spectral Data 401[nm],0.000165293255
Spectral Data 402[nm],0.000176516449
Spectral Data 403[nm],0.000190189487
Spectral Data 404[nm],0.000206121214
Spectral Data 405[nm],0.000224245945
Spectral Data 406[nm],0.000244498951
Spectral Data 407[nm],0.000266822695
Spectral Data 408[nm],0.000291227014
Spectral Data 409[nm],0.000317758357
Spectral Data 410[nm],0.000346463436
Spectral Data 411[nm],0.000377515738
Spectral Data 412[nm],0.000412396272
Spectral Data 413[nm],0.000453357352
Spectral Data 414[nm],0.000502661336
Spectral Data 415[nm],0.000562551548
Spectral Data 416[nm],0.000635053962
Spectral Data 417[nm],0.000722055673
Spectral Data 418[nm],0.000825441210
Spectral Data 419[nm],0.000947120250
Spectral Data 420[nm],0.001089322148
Spectral Data 421[nm],0.001254497911
Spectral Data 422[nm],0.001445102738
Spectral Data 423[nm],0.001663614414
Spectral Data 424[nm],0.001912236447
Spectral Data 425[nm],0.002192995045
Spectral Data 426[nm],0.002507936209
Spectral Data 427[nm],0.002859079745
Spectral Data 428[nm],0.003248814959
Spectral Data 429[nm],0.003679795656
Spectral Data 430[nm],0.004154648632
Spectral Data 431[nm],0.004676079843
Spectral Data 432[nm],0.005248166621
Spectral Data 433[nm],0.005876162555
Spectral Data 434[nm],0.006565356627
Spectral Data 435[nm],0.007320598233
Spectral Data 436[nm],0.008141065016
Spectral Data 437[nm],0.009020650759
Spectral Data 438[nm],0.009952917695
Spectral Data 439[nm],0.010931381024
Spectral Data 440[nm],0.011949422769
Spectral Data 441[nm],0.013000281528
Spectral Data 442[nm],0.014077147469
Spectral Data 443[nm],0.015172909945
Spectral Data 444[nm],0.016265382990
Spectral Data 445[nm],0.017310621217
