Date Saved,2025/12/04 20:18:17
Title,SL_104_02°_3154K

Measuring Mode,Ambient
Viewing Angle [°],2
CCT [K],3154
⊿uv,0.0011
Illuminance [lx],339

Peak Wavelength [nm],619
Tristimulus Value X,360.0605
Tristimulus Value Y,339.4854
Tristimulus Value Z,142.0678
CIE1931 x,0.4278
CIE1931 y,0.4034
CIE1931 z,0.1688
CIE1976 u',0.2450
CIE1976 v',0.5197
Dominant Wavelength [nm],582
Purity [%],49.5
PPFD [umolm⁻²s⁻¹],5.2
CRI Ra,87.4
CRI R1,87.2
CRI R2,90.7
CRI R3,91.4
CRI R4,86.8
CRI R5,85.1
CRI R6,85.8
CRI R7,92.5
CRI R8,79.3
CRI R9,49.0
CRI R10,75.6
CRI R11,83.8
CRI R12,62.7
CRI R13,87.7
CRI R14,94.3
CRI R15,84.7
TM-30 Rf,87
TM-30 Rg,99
SSIt,79
SSId,54
SSI1,---
SSI2,---
TLCI,85
TLMF,---

Spectral Data 380[nm],0.000000000000
Spectral Data 385[nm],0.000000000000
Spectral Data 390[nm],0.000000000000
Spectral Data 395[nm],0.000000000000
Spectral Data 400[nm],0.000000000000
Spectral Data 405[nm],0.000001957070
Spectral Data 410[nm],0.000023474888
Spectral Data 415[nm],0.000056253055
Spectral Data 420[nm],0.000115672170
Spectral Data 425[nm],0.000249382021
Spectral Data 430[nm],0.000492320221
Spectral Data 435[nm],0.000897897524
Spectral Data 440[nm],0.001539879828
Spectral Data 445[nm],0.002443085657
Spectral Data 450[nm],0.003335102228
Spectral Data 455[nm],0.003703404451
Spectral Data 460[nm],0.003362519899
Spectral Data 465[nm],0.002669773530
Spectral Data 470[nm],0.002030401956
Spectral Data 475[nm],0.001590389875
Spectral Data 480[nm],0.001326027676
Spectral Data 485[nm],0.001212999574
Spectral Data 490[nm],0.001266913489
Spectral Data 495[nm],0.001476583886
Spectral Data 500[nm],0.001795369084
Spectral Data 505[nm],0.002173772547
Spectral Data 510[nm],0.002581681591
Spectral Data 515[nm],0.002977668075
Spectral Data 520[nm],0.003356320318
Spectral Data 525[nm],0.003734617494
Spectral Data 530[nm],0.004087513313
Spectral Data 535[nm],0.004340876359
Spectral Data 540[nm],0.004456588067
Spectral Data 545[nm],0.004545083735
Spectral Data 550[nm],0.004691431765
Spectral Data 555[nm],0.004832809325
Spectral Data 560[nm],0.004968781024
Spectral Data 565[nm],0.005101504736
Spectral Data 570[nm],0.005242633633
Spectral Data 575[nm],0.005374666769
Spectral Data 580[nm],0.005490848795
Spectral Data 585[nm],0.005613301415
Spectral Data 590[nm],0.005743300077
Spectral Data 595[nm],0.005869371817
Spectral Data 600[nm],0.005988024175
Spectral Data 605[nm],0.006092080381
Spectral Data 610[nm],0.006165116560
Spectral Data 615[nm],0.006199983880
Spectral Data 620[nm],0.006205312442
Spectral Data 625[nm],0.006161483936
Spectral Data 630[nm],0.006070198026
Spectral Data 635[nm],0.005948457867
Spectral Data 640[nm],0.005792228505
Spectral Data 645[nm],0.005580735859
Spectral Data 650[nm],0.005334454123
Spectral Data 655[nm],0.005045917816
Spectral Data 660[nm],0.004721520469
Spectral Data 665[nm],0.004376880825
Spectral Data 670[nm],0.004025314469
Spectral Data 675[nm],0.003649175167
Spectral Data 680[nm],0.003273363225
Spectral Data 685[nm],0.002926411340
Spectral Data 690[nm],0.002618158003
Spectral Data 695[nm],0.002330404008
Spectral Data 700[nm],0.002054609358
Spectral Data 705[nm],0.001802640385
Spectral Data 710[nm],0.001573509187
Spectral Data 715[nm],0.001378419111
Spectral Data 720[nm],0.001180719119
Spectral Data 725[nm],0.000992644113
Spectral Data 730[nm],0.000876945793
Spectral Data 735[nm],0.000754965295
Spectral Data 740[nm],0.000602628861
Spectral Data 745[nm],0.000496791676
Spectral Data 750[nm],0.000435280876
Spectral Data 755[nm],0.000363576692
Spectral Data 760[nm],0.000277544401
Spectral Data 765[nm],0.000271896861
Spectral Data 770[nm],0.000200205934
Spectral Data 775[nm],0.000134394344
Spectral Data 780[nm],0.000138993273

Spectral Data 380[nm],0.000000000000
Spectral Data 381[nm],0.000000000000
Spectral Data 382[nm],0.000000000000
Spectral Data 383[nm],0.000000000000
Spectral Data 384[nm],0.000000000000
Spectral Data 385[nm],0.000000000000
Spectral Data 386[nm],0.000000000000
Spectral Data 387[nm],0.000000000000
Spectral Data 388[nm],0.000000000000
Spectral Data 389[nm],0.000000000000
Spectral Data 390[nm],0.000000000000
Spectral Data 391[nm],0.000000000000
Spectral Data 392[nm],0.000000000000
Spectral Data 393[nm],0.000000000000
Spectral Data 394[nm],0.000000000000
Spectral Data 395[nm],0.000000000000
Spectral Data 396[nm],0.000000000000
Spectral Data 397[nm],0.000000000000
Spectral Data 398[nm],0.000000000000
Spectral Data 399[nm],0.000000000000
Spectral Data 400[nm],0.000000000000
Spectral Data 401[nm],0.000000000000
Spectral Data 402[nm],0.000000000000
Spectral Data 403[nm],0.000000000000
Spectral Data 404[nm],0.000000000000
Spectral Data 405[nm],0.000000000000
Spectral Data 406[nm],0.000000000000
Spectral Data 407[nm],0.000003713148
Spectral Data 408[nm],0.000010333730
Spectral Data 409[nm],0.000017123570
Spectral Data 410[nm],0.000023801809
Spectral Data 411[nm],0.000030116724
Spectral Data 412[nm],0.000036117428
Spectral Data 413[nm],0.000042030493
Spectral Data 414[nm],0.000048084788
Spectral Data 415[nm],0.000054524669
Spectral Data 416[nm],0.000061772327
Spectral Data 417[nm],0.000070363662
Spectral Data 418[nm],0.000080836428
Spectral Data 419[nm],0.000093719391
Spectral Data 420[nm],0.000109426292
Spectral Data 421[nm],0.000128291169
Spectral Data 422[nm],0.000150646461
Spectral Data 423[nm],0.000176818270
Spectral Data 424[nm],0.000206974684
Spectral Data 425[nm],0.000241168396
Spectral Data 426[nm],0.000279452070
Spectral Data 427[nm],0.000321893167
Spectral Data 428[nm],0.000368903420
Spectral Data 429[nm],0.000421162433
Spectral Data 430[nm],0.000479352311
Spectral Data 431[nm],0.000544148148
Spectral Data 432[nm],0.000616101199
Spectral Data 433[nm],0.000695656985
Spectral Data 434[nm],0.000783257477
Spectral Data 435[nm],0.000879313098
Spectral Data 436[nm],0.000984539161
Spectral Data 437[nm],0.001099921530
Spectral Data 438[nm],0.001226415625
Spectral Data 439[nm],0.001364930882
