Date Saved,2025/12/04 20:18:22
Title,SL_109_02°_5083K
% BLUE,28.4422
Viewing Angle [°],2
CCT [K],5083
⊿uv,0.0001
Illuminance [lx],2200
Peak Wavelength [nm],448
Tristimulus Value X,2157.3660
Tristimulus Value Y,2202.1742
Tristimulus Value Z,1932.9900
CIE1931 x,0.3428
CIE1931 y,0.3500
CIE1931 z,0.3072
CIE1976 u',0.2105
CIE1976 v',0.4835
Dominant Wavelength [nm],571
Purity [%],7.9
PPFD [umolm⁻²s⁻¹],30.3
CRI Ra,76.8
CRI R1,75.8
CRI R2,80.8
CRI R3,83.4
CRI R4,78.0
CRI R5,76.3
CRI R6,73.5
CRI R7,82.9
CRI R8,63.5
CRI R9,-8.2
CRI R10,53.3
CRI R11,76.3
CRI R12,52.8
CRI R13,76.2
CRI R14,90.5
CRI R15,70.5
TM-30 Rf,77
TM-30 Rg,97
SSIt,43
SSId,63
SSI1,---
SSI2,---
TLCI,56
TLMF,---
Spectral Data 380[nm],0.000332697993
Spectral Data 385[nm],0.000392313697
Spectral Data 390[nm],0.000479855604
Spectral Data 395[nm],0.000432944915
Spectral Data 400[nm],0.000431501016
Spectral Data 405[nm],0.000675300660
Spectral Data 410[nm],0.001270236797
Spectral Data 415[nm],0.002545617521
Spectral Data 420[nm],0.005106921773
Spectral Data 425[nm],0.009634102695
Spectral Data 430[nm],0.016847809777
Spectral Data 435[nm],0.027364823967
Spectral Data 440[nm],0.040024090558
Spectral Data 445[nm],0.050301976502
Spectral Data 450[nm],0.051579333842
Spectral Data 455[nm],0.042793799192
Spectral Data 460[nm],0.030655039474
Spectral Data 465[nm],0.021049682051
Spectral Data 470[nm],0.014632351696
Spectral Data 475[nm],0.010756519623
Spectral Data 480[nm],0.009009353817
Spectral Data 485[nm],0.008802734315
Spectral Data 490[nm],0.009923924692
Spectral Data 495[nm],0.012258566916
Spectral Data 500[nm],0.015402493067
Spectral Data 505[nm],0.018774967641
Spectral Data 510[nm],0.022049807012
Spectral Data 515[nm],0.024966161698
Spectral Data 520[nm],0.027510093525
Spectral Data 525[nm],0.029912730679
Spectral Data 530[nm],0.032007019967
Spectral Data 535[nm],0.033249095082
Spectral Data 540[nm],0.033441670239
Spectral Data 545[nm],0.033483143896
Spectral Data 550[nm],0.034075025469
Spectral Data 555[nm],0.034632220864
Spectral Data 560[nm],0.035041678697
Spectral Data 565[nm],0.035290084779
Spectral Data 570[nm],0.035510290414
Spectral Data 575[nm],0.035598162562
Spectral Data 580[nm],0.035478752106
Spectral Data 585[nm],0.035217009485
Spectral Data 590[nm],0.034718479961
Spectral Data 595[nm],0.033909060061
Spectral Data 600[nm],0.032854191959
Spectral Data 605[nm],0.031584560871
Spectral Data 610[nm],0.030109781772
Spectral Data 615[nm],0.028434908018
Spectral Data 620[nm],0.026586379856
Spectral Data 625[nm],0.024633802474
Spectral Data 630[nm],0.022673044354
Spectral Data 635[nm],0.020671274513
Spectral Data 640[nm],0.018712757155
Spectral Data 645[nm],0.016829639673
Spectral Data 650[nm],0.015042345971
Spectral Data 655[nm],0.013297451660
Spectral Data 660[nm],0.011686929502
Spectral Data 665[nm],0.010236350819
