Date Saved,2025/12/04 20:18:03
Title,SL_091_02°_4369K

Measuring Mode,Ambient
Viewing Angle [°],2
CCT [K],4369
⊿uv,0.0026
Illuminance [lx],1350

Peak Wavelength [nm],448
Tristimulus Value X,1323.3801
Tristimulus Value Y,1346.6078
Tristimulus Value Z,938.2768
CIE1931 x,0.3668
CIE1931 y,0.3732
CIE1931 z,0.2600
CIE1976 u',0.2175
CIE1976 v',0.4980
Dominant Wavelength [nm],576
Purity [%],22.1
PPFD [umolm⁻²s⁻¹],18.1
CRI Ra,75.3
CRI R1,73.0
CRI R2,80.1
CRI R3,85.2
CRI R4,75.6
CRI R5,72.8
CRI R6,72.2
CRI R7,83.7
CRI R8,59.8
CRI R9,-14.3
CRI R10,52.2
CRI R11,72.2
CRI R12,47.4
CRI R13,73.9
CRI R14,91.5
CRI R15,66.7
TM-30 Rf,77
TM-30 Rg,96
SSIt,54
SSId,62
SSI1,---
SSI2,---
TLCI,53
TLMF,---

Spectral Data 380[nm],0.000067711619
Spectral Data 385[nm],0.000092314833
Spectral Data 390[nm],0.000168768558
Spectral Data 395[nm],0.000225948825
Spectral Data 400[nm],0.000285282702
Spectral Data 405[nm],0.000407796528
Spectral Data 410[nm],0.000688282191
Spectral Data 415[nm],0.001314042252
Spectral Data 420[nm],0.002586007584
Spectral Data 425[nm],0.004849020392
Spectral Data 430[nm],0.008443894796
Spectral Data 435[nm],0.013617666438
Spectral Data 440[nm],0.019688371569
Spectral Data 445[nm],0.024286573753
Spectral Data 450[nm],0.024389162660
Spectral Data 455[nm],0.019970458001
Spectral Data 460[nm],0.014326121658
Spectral Data 465[nm],0.009946492501
Spectral Data 470[nm],0.007009016816
Spectral Data 475[nm],0.005254594609
Spectral Data 480[nm],0.004506262485
Spectral Data 485[nm],0.004513467662
Spectral Data 490[nm],0.005227878224
Spectral Data 495[nm],0.006608624477
Spectral Data 500[nm],0.008437276818
Spectral Data 505[nm],0.010410718620
Spectral Data 510[nm],0.012342275120
Spectral Data 515[nm],0.014081272297
Spectral Data 520[nm],0.015654383227
Spectral Data 525[nm],0.017201721668
Spectral Data 530[nm],0.018595352769
Spectral Data 535[nm],0.019503898919
Spectral Data 540[nm],0.019804447889
Spectral Data 545[nm],0.020034834743
Spectral Data 550[nm],0.020567646250
Spectral Data 555[nm],0.021050615236
Spectral Data 560[nm],0.021468872204
Spectral Data 565[nm],0.021830363199
Spectral Data 570[nm],0.022187849507
Spectral Data 575[nm],0.022445455194
Spectral Data 580[nm],0.022525984794
Spectral Data 585[nm],0.022477613762
Spectral Data 590[nm],0.022274017334
Spectral Data 595[nm],0.021897194907
Spectral Data 600[nm],0.021340273321
Spectral Data 605[nm],0.020599422976
Spectral Data 610[nm],0.019719306380
Spectral Data 615[nm],0.018687983975
Spectral Data 620[nm],0.017492234707
Spectral Data 625[nm],0.016247900203
Spectral Data 630[nm],0.015035461634
Spectral Data 635[nm],0.013785945252
Spectral Data 640[nm],0.012510850094
Spectral Data 645[nm],0.011276696809
Spectral Data 650[nm],0.010117146187
Spectral Data 655[nm],0.008995410055
Spectral Data 660[nm],0.007916981354
Spectral Data 665[nm],0.006960200612
Spectral Data 670[nm],0.006120079197
Spectral Data 675[nm],0.005313710775
Spectral Data 680[nm],0.004569583572
Spectral Data 685[nm],0.003941677045
Spectral Data 690[nm],0.003462933702
Spectral Data 695[nm],0.003024198115
Spectral Data 700[nm],0.002611133736
Spectral Data 705[nm],0.002252463251
Spectral Data 710[nm],0.001936421497
Spectral Data 715[nm],0.001723599387
Spectral Data 720[nm],0.001410212368
Spectral Data 725[nm],0.001097417553
Spectral Data 730[nm],0.001038429793
Spectral Data 735[nm],0.000933423464
Spectral Data 740[nm],0.000600131461
Spectral Data 745[nm],0.000519444759
Spectral Data 750[nm],0.000443418772
Spectral Data 755[nm],0.000311876065
Spectral Data 760[nm],0.000205286982
Spectral Data 765[nm],0.000403586717
Spectral Data 770[nm],0.000159632269
Spectral Data 775[nm],0.000069586218
Spectral Data 780[nm],0.000150641688

Spectral Data 380[nm],0.000070075577
Spectral Data 381[nm],0.000066164546
Spectral Data 382[nm],0.000066010369
Spectral Data 383[nm],0.000069142756
Spectral Data 384[nm],0.000075585805
Spectral Data 385[nm],0.000085530039
Spectral Data 386[nm],0.000099166078
Spectral Data 387[nm],0.000116450006
Spectral Data 388[nm],0.000135946844
Spectral Data 389[nm],0.000155710761
Spectral Data 390[nm],0.000173795153
Spectral Data 391[nm],0.000188538324
Spectral Data 392[nm],0.000200133218
Spectral Data 393[nm],0.000209515259
Spectral Data 394[nm],0.000217621768
Spectral Data 395[nm],0.000225364915
Spectral Data 396[nm],0.000233448620
Spectral Data 397[nm],0.000242490089
Spectral Data 398[nm],0.000253106962
Spectral Data 399[nm],0.000265862298
Spectral Data 400[nm],0.000280931330
Spectral Data 401[nm],0.000298306782
Spectral Data 402[nm],0.000317979517
Spectral Data 403[nm],0.000340043218
Spectral Data 404[nm],0.000365456595
Spectral Data 405[nm],0.000395611743
Spectral Data 406[nm],0.000431903929
Spectral Data 407[nm],0.000475705107
Spectral Data 408[nm],0.000528170087
Spectral Data 409[nm],0.000590335461
Spectral Data 410[nm],0.000663236715
Spectral Data 411[nm],0.000748032995
Spectral Data 412[nm],0.000847160001
Spectral Data 413[nm],0.000963806524
Spectral Data 414[nm],0.001101171249
Spectral Data 415[nm],0.001262397622
Spectral Data 416[nm],0.001449996838
Spectral Data 417[nm],0.001666075783
Spectral Data 418[nm],0.001912734704
Spectral Data 419[nm],0.002192147076
Spectral Data 420[nm],0.002507429104
Spectral Data 421[nm],0.002862349153
Spectral Data 422[nm],0.003260688391
Spectral Data 423[nm],0.003706182353
Spectral Data 424[nm],0.004201045725
Spectral Data 425[nm],0.004746392835
Spectral Data 426[nm],0.005343346857
Spectral Data 427[nm],0.005993114319
Spectral Data 428[nm],0.006699475925
Spectral Data 429[nm],0.007468197495
Spectral Data 430[nm],0.008305045776
Spectral Data 431[nm],0.009215450846
Spectral Data 432[nm],0.010198869742
Spectral Data 433[nm],0.011249657720
Spectral Data 434[nm],0.012362007052
Spectral Data 435[nm],0.013529928401
Spectral Data 436[nm],0.014743893407
Spectral Data 437[nm],0.015991091728
Spectral Data 438[nm],0.017258595675
Spectral Data 439[nm],0.018533447757
Spectral Data 440[nm],0.019792839885
Spectral Data 441[nm],0.021002890542
